transaction_date,account,description,debit,credit,category,transaction_type,customer_vendor,payment_method,reference
06-Mar-23,Inventory,Transaction 44,985.58,985.58,Expense,Transfer,Customer 5,Bank Transfer,93404
01-Feb-23,Accounts Receivable,Transaction 45,844.99,844.99,Revenue,Transfer,Customer 26,Cash,47315
24-Jan-23,Inventory,Transaction 46,274.03,274.03,Revenue,Purchase,Customer 12,Credit Card,65637
16-May-23,Cash,Transaction 47,725.74,725.74,Asset,Transfer,Customer 55,Bank Transfer,75624
10-Mar-23,Inventory,Transaction 48,883.8,883.8,Expense,Transfer,Customer 65,Cash,64423
15-Jan-23,Accounts Payable,Transaction 49,650.35,650.35,Revenue,Purchase,Customer 22,Bank Transfer,43533
14-Apr-23,Accounts Receivable,Transaction 50,485.07,485.07,Asset,Expense,Customer 57,Check,13801
20-Jan-23,Inventory,Transaction 51,100.87,100.87,Asset,Purchase,Customer 55,Check,63600
04-Oct-23,Accounts Payable,Transaction 52,875.36,875.36,Asset,Purchase,Customer 89,Check,62027
21-Nov-23,Accounts Receivable,Transaction 53,188.69,188.69,Asset,Purchase,Customer 14,Credit Card,11582
24-Nov-23,Cash,Transaction 54,436.85,436.85,Expense,Transfer,Customer 82,Credit Card,63807
02-Aug-23,Accounts Payable,Transaction 55,486.21,486.21,Liability,Purchase,Customer 16,Check,40089
05-Mar-23,Accounts Receivable,Transaction 56,288.81,288.81,Revenue,Purchase,Customer 100,Check,91083
10-Mar-23,Cash,Transaction 57,859.9,859.9,Expense,Expense,Customer 72,Check,21435
16-Feb-23,Accounts Payable,Transaction 58,245.5,245.5,Liability,Sale,Customer 53,Cash,24927
14-Mar-23,Cash,Transaction 59,909,909,Asset,Purchase,Customer 3,Credit Card,32312
07-Nov-23,Inventory,Transaction 60,449.84,449.84,Revenue,Transfer,Customer 35,Check,94168
23-Mar-23,Inventory,Transaction 61,711.22,711.22,Asset,Expense,Customer 9,Cash,88080
23-Jan-23,Inventory,Transaction 62,623.1,623.1,Asset,Transfer,Customer 93,Bank Transfer,56802
22-Jun-23,Cash,Transaction 63,911.5,911.5,Expense,Expense,Customer 9,Credit Card,23345
06-Mar-23,Accounts Payable,Transaction 64,197.89,197.89,Asset,Expense,Customer 36,Check,11956
19-Oct-23,Cash,Transaction 65,502.81,502.81,Revenue,Transfer,Customer 51,Cash,83138
26-Oct-23,Accounts Receivable,Transaction 66,787.66,787.66,Liability,Expense,Customer 98,Bank Transfer,63248
11-Jan-23,Accounts Payable,Transaction 67,472.2,472.2,Revenue,Sale,Customer 11,Bank Transfer,46960
09-May-23,Cash,Transaction 68,677.12,677.12,Expense,Sale,Customer 10,Check,35376
04-Apr-23,Accounts Payable,Transaction 69,233.26,233.26,Liability,Sale,Customer 91,Bank Transfer,44083
28-Oct-23,Accounts Payable,Transaction 70,900.34,900.34,Asset,Expense,Customer 14,Cash,80909
09-Apr-23,Accounts Receivable,Transaction 71,891.38,891.38,Liability,Expense,Customer 23,Credit Card,37206
16-Jul-23,Accounts Payable,Transaction 72,905.28,905.28,Liability,Purchase,Customer 28,Check,61325
03-Jul-23,Inventory,Transaction 73,683.34,683.34,Liability,Expense,Customer 46,Check,75672
23-Jul-23,Accounts Receivable,Transaction 74,144.91,144.91,Liability,Purchase,Customer 23,Check,39982
15-Jul-23,Accounts Receivable,Transaction 75,850.46,850.46,Liability,Expense,Customer 65,Check,23251
09-Apr-23,Accounts Receivable,Transaction 76,611.95,611.95,Expense,Sale,Customer 40,Bank Transfer,39750
16-Feb-23,Cash,Transaction 77,693.44,693.44,Expense,Purchase,Customer 88,Check,21215
26-Nov-23,Cash,Transaction 78,587.83,587.83,Expense,Purchase,Customer 78,Cash,33611
12-Mar-23,Accounts Receivable,Transaction 79,194.1,194.1,Asset,Purchase,Customer 47,Cash,68061
14-Jul-23,Inventory,Transaction 80,940.2,940.2,Liability,Expense,Customer 22,Check,79047
08-Jun-23,Inventory,Transaction 81,587.4,587.4,Revenue,Purchase,Customer 7,Bank Transfer,88194
15-Jul-23,Accounts Receivable,Transaction 82,997.42,997.42,Revenue,Sale,Customer 72,Credit Card,24379
05-Oct-23,Cash,Transaction 83,514.24,514.24,Expense,Expense,Customer 16,Cash,10068
20-Jan-23,Cash,Transaction 84,605.37,605.37,Asset,Sale,Customer 7,Credit Card,80539
20-Mar-23,Inventory,Transaction 85,962.52,962.52,Liability,Transfer,Customer 36,Bank Transfer,91296
08-Nov-23,Cash,Transaction 86,559.29,559.29,Expense,Sale,Customer 42,Bank Transfer,88630
01-Aug-23,Cash,Transaction 87,811.73,811.73,Expense,Purchase,Customer 40,Bank Transfer,22869
13-Aug-23,Cash,Transaction 88,978.75,978.75,Expense,Expense,Customer 24,Check,70584
04-Apr-23,Accounts Receivable,Transaction 89,260.03,260.03,Asset,Purchase,Customer 50,Bank Transfer,47357
24-Aug-23,Accounts Receivable,Transaction 90,956.9,956.9,Revenue,Expense,Customer 63,Credit Card,13285
25-Oct-23,Accounts Receivable,Transaction 91,712.33,712.33,Expense,Expense,Customer 70,Credit Card,50666
21-Jul-23,Inventory,Transaction 92,650.14,650.14,Revenue,Transfer,Customer 65,Credit Card,34158
28-Aug-23,Cash,Transaction 93,115.31,115.31,Expense,Purchase,Customer 6,Credit Card,68840
26-Aug-23,Inventory,Transaction 94,819.22,819.22,Liability,Transfer,Customer 96,Cash,96657
20-Jun-23,Accounts Payable,Transaction 95,803.66,803.66,Asset,Sale,Customer 63,Credit Card,20352
04-May-23,Accounts Payable,Transaction 96,198.91,198.91,Revenue,Purchase,Customer 60,Check,31629
07-Feb-23,Accounts Receivable,Transaction 97,973.74,973.74,Asset,Transfer,Customer 53,Bank Transfer,55044
01-May-23,Accounts Payable,Transaction 98,182.11,182.11,Asset,Purchase,Customer 91,Credit Card,18935
19-Dec-23,Accounts Payable,Transaction 99,793.13,793.13,Liability,Sale,Customer 49,Bank Transfer,26252
11-Jun-23,Inventory,Transaction 100,829.77,829.77,Revenue,Sale,Customer 6,Bank Transfer,18746
28-Jan-23,Inventory,Transaction 101,503.42,503.42,Expense,Expense,Customer 35,Credit Card,66745
01-Jan-23,Inventory,Transaction 102,210.77,210.77,Expense,Purchase,Customer 9,Bank Transfer,94577
05-Apr-23,Inventory,Transaction 103,153.95,153.95,Liability,Expense,Customer 23,Check,31888
10-Dec-23,Accounts Payable,Transaction 104,780.48,780.48,Expense,Sale,Customer 82,Credit Card,25045
13-Jun-23,Accounts Payable,Transaction 105,618.69,618.69,Asset,Transfer,Customer 49,Credit Card,58520
23-Oct-23,Cash,Transaction 106,793.36,793.36,Revenue,Expense,Customer 24,Bank Transfer,15106
21-Feb-23,Accounts Receivable,Transaction 107,704.14,704.14,Expense,Expense,Customer 63,Bank Transfer,19379
26-Aug-23,Cash,Transaction 108,373.23,373.23,Revenue,Expense,Customer 16,Cash,55074
11-Nov-23,Accounts Receivable,Transaction 109,939.11,939.11,Asset,Transfer,Customer 54,Bank Transfer,38553
17-Apr-23,Inventory,Transaction 110,985.84,985.84,Asset,Sale,Customer 16,Cash,80837
16-Jun-23,Accounts Receivable,Transaction 111,924.43,924.43,Expense,Sale,Customer 52,Credit Card,35916
10-Jul-23,Inventory,Transaction 112,496.05,496.05,Asset,Purchase,Customer 82,Credit Card,19598
25-Feb-23,Accounts Receivable,Transaction 113,392.19,392.19,Expense,Purchase,Customer 77,Cash,45255
05-Feb-23,Accounts Receivable,Transaction 114,987.45,987.45,Asset,Purchase,Customer 18,Bank Transfer,77009
26-Apr-23,Accounts Receivable,Transaction 115,607.26,607.26,Asset,Expense,Customer 16,Cash,82091
03-Sep-23,Cash,Transaction 116,374.86,374.86,Expense,Sale,Customer 59,Bank Transfer,91954
04-Jun-23,Inventory,Transaction 117,954.93,954.93,Expense,Transfer,Customer 62,Bank Transfer,48222
28-Jul-23,Cash,Transaction 118,722.99,722.99,Expense,Sale,Customer 73,Check,27265
06-Jun-23,Cash,Transaction 119,816.02,816.02,Revenue,Sale,Customer 73,Cash,63392
15-Jan-23,Accounts Payable,Transaction 120,877.93,877.93,Revenue,Sale,Customer 85,Cash,39278
05-Oct-23,Accounts Receivable,Transaction 121,211.2,211.2,Revenue,Purchase,Customer 39,Check,16977
22-Aug-23,Accounts Payable,Transaction 122,664.67,664.67,Expense,Sale,Customer 78,Bank Transfer,52312
10-Jan-23,Inventory,Transaction 123,608.93,608.93,Expense,Transfer,Customer 56,Check,73368
14-Sep-23,Accounts Receivable,Transaction 124,776.07,776.07,Revenue,Sale,Customer 68,Bank Transfer,97850
05-Mar-23,Inventory,Transaction 125,719.92,719.92,Expense,Purchase,Customer 35,Cash,92795
25-Jul-23,Accounts Receivable,Transaction 126,113.18,113.18,Liability,Sale,Customer 59,Credit Card,82413
22-Oct-23,Accounts Receivable,Transaction 127,706.47,706.47,Revenue,Transfer,Customer 2,Credit Card,48416
02-Feb-23,Accounts Payable,Transaction 128,863.46,863.46,Revenue,Transfer,Customer 6,Cash,81099
19-Jan-23,Inventory,Transaction 129,477.05,477.05,Liability,Expense,Customer 50,Cash,40411
16-Sep-23,Inventory,Transaction 130,989.51,989.51,Expense,Expense,Customer 28,Bank Transfer,12788
02-Jun-23,Accounts Receivable,Transaction 131,613.84,613.84,Expense,Expense,Customer 30,Cash,56066
13-Dec-23,Inventory,Transaction 132,309.15,309.15,Asset,Purchase,Customer 74,Check,48694
07-Dec-23,Accounts Receivable,Transaction 133,443.97,443.97,Revenue,Sale,Customer 46,Credit Card,46517
05-Nov-23,Accounts Payable,Transaction 134,797.57,797.57,Asset,Transfer,Customer 91,Credit Card,78627
09-Oct-23,Accounts Payable,Transaction 135,542.76,542.76,Liability,Expense,Customer 9,Credit Card,38856
02-Jan-23,Accounts Receivable,Transaction 136,663.83,663.83,Expense,Purchase,Customer 68,Check,14611
11-Feb-23,Inventory,Transaction 137,929.31,929.31,Revenue,Expense,Customer 36,Bank Transfer,32299
02-Apr-23,Inventory,Transaction 138,264.99,264.99,Expense,Purchase,Customer 59,Check,42150
09-Jul-23,Inventory,Transaction 139,882.48,882.48,Expense,Purchase,Customer 52,Check,61466
17-Dec-23,Cash,Transaction 140,946.26,946.26,Asset,Transfer,Customer 71,Check,81135
06-Apr-23,Accounts Payable,Transaction 141,692.41,692.41,Liability,Purchase,Customer 92,Cash,90432
13-Mar-23,Accounts Receivable,Transaction 142,524.91,524.91,Revenue,Purchase,Customer 75,Cash,81224
26-Dec-23,Cash,Transaction 143,782.63,782.63,Expense,Expense,Customer 78,Bank Transfer,24061
26-Aug-23,Accounts Payable,Transaction 144,957.05,957.05,Liability,Transfer,Customer 83,Check,17432
07-Jul-23,Accounts Receivable,Transaction 145,735.94,735.94,Liability,Transfer,Customer 93,Bank Transfer,94403
03-Mar-23,Accounts Receivable,Transaction 146,962.8,962.8,Liability,Transfer,Customer 86,Check,79716
03-Nov-23,Accounts Receivable,Transaction 147,906.43,906.43,Liability,Transfer,Customer 47,Cash,14928
08-May-23,Inventory,Transaction 148,816.32,816.32,Asset,Purchase,Customer 64,Bank Transfer,37648
13-Feb-23,Accounts Payable,Transaction 149,662.57,662.57,Liability,Expense,Customer 58,Credit Card,43458
25-Jan-23,Cash,Transaction 150,583.71,583.71,Expense,Sale,Customer 82,Cash,47516
14-Jun-23,Accounts Receivable,Transaction 151,895.34,895.34,Revenue,Transfer,Customer 84,Check,53279
26-Feb-23,Accounts Payable,Transaction 152,604.83,604.83,Liability,Sale,Customer 46,Credit Card,44713
18-May-23,Cash,Transaction 153,909.43,909.43,Revenue,Transfer,Customer 50,Cash,45827
25-Mar-23,Accounts Receivable,Transaction 154,859.01,859.01,Expense,Transfer,Customer 33,Check,70135
17-Jun-23,Accounts Receivable,Transaction 155,770.01,770.01,Revenue,Transfer,Customer 39,Cash,31331
20-Aug-23,Cash,Transaction 156,619.94,619.94,Liability,Purchase,Customer 65,Bank Transfer,41336
15-Aug-23,Accounts Receivable,Transaction 157,188.94,188.94,Liability,Expense,Customer 68,Credit Card,35174
19-Dec-23,Accounts Receivable,Transaction 158,935.06,935.06,Revenue,Expense,Customer 15,Cash,44806
01-Jul-23,Accounts Payable,Transaction 159,428.82,428.82,Liability,Transfer,Customer 85,Check,27277
24-Feb-23,Inventory,Transaction 160,421.93,421.93,Revenue,Expense,Customer 64,Check,34889
13-Apr-23,Cash,Transaction 161,579.26,579.26,Expense,Expense,Customer 74,Credit Card,88942
06-Dec-23,Cash,Transaction 162,773.57,773.57,Asset,Purchase,Customer 41,Credit Card,31093
06-Nov-23,Accounts Receivable,Transaction 163,611.23,611.23,Revenue,Transfer,Customer 47,Cash,55708
14-Sep-23,Accounts Receivable,Transaction 164,404.05,404.05,Expense,Sale,Customer 80,Credit Card,53603
23-Apr-23,Accounts Receivable,Transaction 165,293.29,293.29,Liability,Sale,Customer 17,Credit Card,86749
05-Jan-23,Accounts Receivable,Transaction 166,849.35,849.35,Revenue,Expense,Customer 20,Credit Card,91274
13-Apr-23,Accounts Payable,Transaction 167,372.12,372.12,Liability,Expense,Customer 10,Credit Card,18553
18-Dec-23,Cash,Transaction 168,569.3,569.3,Revenue,Transfer,Customer 83,Check,12430
07-May-23,Inventory,Transaction 169,285.44,285.44,Liability,Expense,Customer 69,Credit Card,18739
23-Apr-23,Inventory,Transaction 170,513.63,513.63,Revenue,Expense,Customer 30,Check,13209
27-Dec-23,Cash,Transaction 171,706.18,706.18,Asset,Transfer,Customer 8,Check,71545
22-Mar-23,Accounts Payable,Transaction 172,554.44,554.44,Revenue,Expense,Customer 70,Bank Transfer,83973
01-Aug-23,Cash,Transaction 173,833.03,833.03,Liability,Expense,Customer 15,Bank Transfer,21404
14-Jul-23,Inventory,Transaction 174,721.16,721.16,Expense,Expense,Customer 98,Credit Card,78649
06-Jun-23,Cash,Transaction 175,891.47,891.47,Expense,Expense,Customer 91,Bank Transfer,87239
01-Nov-23,Inventory,Transaction 176,777.17,777.17,Expense,Expense,Customer 49,Bank Transfer,75988
26-Jun-23,Accounts Receivable,Transaction 177,920.87,920.87,Expense,Expense,Customer 24,Bank Transfer,71879
20-Jan-23,Accounts Receivable,Transaction 178,324.1,324.1,Expense,Sale,Customer 17,Credit Card,32932
10-Jul-23,Inventory,Transaction 179,823.65,823.65,Expense,Expense,Customer 91,Credit Card,99833
07-Jul-23,Inventory,Transaction 180,304.51,304.51,Revenue,Expense,Customer 43,Check,74782
15-Aug-23,Accounts Receivable,Transaction 181,896.56,896.56,Revenue,Expense,Customer 21,Cash,92519
08-Aug-23,Cash,Transaction 182,580.05,580.05,Revenue,Expense,Customer 29,Credit Card,18898
04-Feb-23,Accounts Payable,Transaction 183,949.84,949.84,Liability,Sale,Customer 40,Check,39302
28-Jan-23,Inventory,Transaction 184,701.11,701.11,Expense,Transfer,Customer 10,Check,13047
03-Nov-23,Accounts Receivable,Transaction 185,721.58,721.58,Asset,Transfer,Customer 31,Bank Transfer,68149
03-Aug-23,Cash,Transaction 186,310.54,310.54,Asset,Expense,Customer 3,Bank Transfer,35644
15-Jan-23,Cash,Transaction 187,545.79,545.79,Liability,Transfer,Customer 65,Bank Transfer,38805
13-Aug-23,Cash,Transaction 188,233.95,233.95,Asset,Purchase,Customer 23,Check,72969
04-May-23,Inventory,Transaction 189,968.76,968.76,Liability,Transfer,Customer 15,Cash,65432
13-Sep-23,Accounts Payable,Transaction 190,506.22,506.22,Revenue,Expense,Customer 95,Credit Card,43524
20-Sep-23,Inventory,Transaction 191,397.45,397.45,Revenue,Sale,Customer 65,Check,34797
23-Feb-23,Accounts Payable,Transaction 192,684.48,684.48,Expense,Sale,Customer 44,Bank Transfer,54228
26-May-23,Accounts Payable,Transaction 193,944.71,944.71,Asset,Purchase,Customer 96,Cash,69878
25-Mar-23,Accounts Receivable,Transaction 194,186.43,186.43,Asset,Purchase,Customer 34,Cash,98952
02-Jul-23,Inventory,Transaction 195,672.03,672.03,Liability,Purchase,Customer 60,Bank Transfer,55907
25-Dec-23,Accounts Receivable,Transaction 196,825.77,825.77,Asset,Sale,Customer 39,Credit Card,82245
08-Jul-23,Inventory,Transaction 197,288.32,288.32,Asset,Sale,Customer 83,Cash,76964
02-Jun-23,Cash,Transaction 198,116.39,116.39,Liability,Purchase,Customer 17,Bank Transfer,78380
09-Jul-23,Accounts Payable,Transaction 199,367.9,367.9,Liability,Expense,Customer 75,Cash,86606
19-Dec-23,Accounts Receivable,Transaction 200,368.41,368.41,Liability,Sale,Customer 37,Credit Card,92997
04-Aug-23,Accounts Receivable,Transaction 201,450.06,450.06,Expense,Sale,Customer 89,Cash,84203
10-Sep-23,Accounts Receivable,Transaction 202,372.7,372.7,Liability,Sale,Customer 85,Check,82568
21-Jul-23,Accounts Payable,Transaction 203,379.96,379.96,Revenue,Transfer,Customer 23,Bank Transfer,48321
06-Nov-23,Accounts Receivable,Transaction 204,600.91,600.91,Liability,Expense,Customer 75,Credit Card,89806
14-Jun-23,Inventory,Transaction 205,974.81,974.81,Liability,Expense,Customer 23,Check,63543
04-Mar-23,Accounts Receivable,Transaction 206,981.66,981.66,Revenue,Transfer,Customer 53,Credit Card,66151
08-Sep-23,Inventory,Transaction 207,188.22,188.22,Asset,Sale,Customer 94,Cash,26041
17-Mar-23,Cash,Transaction 208,898.18,898.18,Liability,Expense,Customer 61,Credit Card,42368
21-Oct-23,Cash,Transaction 209,518.99,518.99,Asset,Expense,Customer 27,Check,75982
13-Jun-23,Cash,Transaction 210,723.64,723.64,Revenue,Purchase,Customer 23,Check,88877
16-Feb-23,Inventory,Transaction 211,992.01,992.01,Asset,Transfer,Customer 31,Bank Transfer,74202
17-Jun-23,Inventory,Transaction 212,969.2,969.2,Asset,Expense,Customer 43,Check,23168
07-May-23,Accounts Receivable,Transaction 213,370.16,370.16,Expense,Purchase,Customer 22,Cash,39893
22-Apr-23,Accounts Receivable,Transaction 214,450.6,450.6,Liability,Expense,Customer 41,Check,13274
24-Feb-23,Inventory,Transaction 215,408.48,408.48,Revenue,Expense,Customer 25,Bank Transfer,50691
22-Apr-23,Cash,Transaction 216,220.49,220.49,Expense,Transfer,Customer 76,Cash,18172
15-Feb-23,Cash,Transaction 217,813.14,813.14,Expense,Transfer,Customer 47,Credit Card,10806
27-Jan-23,Cash,Transaction 218,561.77,561.77,Liability,Purchase,Customer 98,Credit Card,21583
04-Dec-23,Accounts Receivable,Transaction 219,826.57,826.57,Revenue,Transfer,Customer 5,Credit Card,46117
01-Feb-23,Cash,Transaction 220,129.23,129.23,Liability,Expense,Customer 51,Cash,76520
05-Jun-23,Cash,Transaction 221,528.58,528.58,Liability,Sale,Customer 37,Bank Transfer,37092
04-Jun-23,Accounts Payable,Transaction 222,851.3,851.3,Expense,Sale,Customer 41,Cash,23985
28-Feb-23,Accounts Payable,Transaction 223,387.44,387.44,Revenue,Sale,Customer 99,Cash,32765
25-Apr-23,Inventory,Transaction 224,788.58,788.58,Revenue,Sale,Customer 43,Bank Transfer,85950
24-Sep-23,Inventory,Transaction 225,309.81,309.81,Revenue,Transfer,Customer 2,Bank Transfer,19564
07-May-23,Accounts Receivable,Transaction 226,936.61,936.61,Expense,Transfer,Customer 81,Bank Transfer,35063
11-Jul-23,Inventory,Transaction 227,828.3,828.3,Asset,Expense,Customer 80,Credit Card,12074
25-Dec-23,Accounts Receivable,Transaction 228,781.99,781.99,Asset,Transfer,Customer 45,Bank Transfer,56214
22-Feb-23,Accounts Receivable,Transaction 229,506.46,506.46,Asset,Purchase,Customer 62,Cash,62797
09-Oct-23,Accounts Receivable,Transaction 230,108.02,108.02,Expense,Sale,Customer 67,Check,87330
18-Jun-23,Cash,Transaction 231,556.03,556.03,Liability,Expense,Customer 70,Cash,73093
13-Apr-23,Accounts Receivable,Transaction 232,885.24,885.24,Asset,Expense,Customer 80,Bank Transfer,46762
28-Sep-23,Cash,Transaction 233,178.92,178.92,Liability,Expense,Customer 22,Credit Card,83889
28-Dec-23,Cash,Transaction 234,780.59,780.59,Expense,Transfer,Customer 69,Check,62577
14-Nov-23,Cash,Transaction 235,647.91,647.91,Revenue,Expense,Customer 17,Cash,91144
05-Aug-23,Accounts Receivable,Transaction 236,680.14,680.14,Expense,Transfer,Customer 93,Credit Card,49838
23-Mar-23,Inventory,Transaction 237,181.72,181.72,Asset,Sale,Customer 5,Cash,27391
12-Feb-23,Inventory,Transaction 238,810.05,810.05,Asset,Purchase,Customer 39,Credit Card,84236
10-Mar-23,Accounts Receivable,Transaction 239,560.47,560.47,Liability,Transfer,Customer 38,Check,35990
25-Sep-23,Cash,Transaction 240,319.44,319.44,Expense,Sale,Customer 3,Cash,52793
20-Nov-23,Cash,Transaction 241,569.64,569.64,Expense,Purchase,Customer 93,Check,95901
24-Jun-23,Accounts Payable,Transaction 242,759.59,759.59,Liability,Purchase,Customer 52,Check,93789
08-Dec-23,Cash,Transaction 243,748.56,748.56,Liability,Transfer,Customer 62,Bank Transfer,52607
27-Jan-23,Accounts Payable,Transaction 244,411.75,411.75,Expense,Sale,Customer 47,Cash,72164
13-Aug-23,Accounts Payable,Transaction 245,307.47,307.47,Asset,Transfer,Customer 6,Check,15452
28-May-23,Accounts Receivable,Transaction 246,789.73,789.73,Expense,Purchase,Customer 92,Bank Transfer,71088
08-Feb-23,Inventory,Transaction 247,317.44,317.44,Revenue,Sale,Customer 39,Bank Transfer,95872
04-Dec-23,Accounts Payable,Transaction 248,862.32,862.32,Expense,Expense,Customer 18,Check,41903
07-Jun-23,Accounts Receivable,Transaction 249,366.39,366.39,Expense,Purchase,Customer 23,Bank Transfer,23011
19-Oct-23,Cash,Transaction 250,489.12,489.12,Expense,Expense,Customer 90,Credit Card,75523
08-Oct-23,Accounts Payable,Transaction 251,717.82,717.82,Liability,Expense,Customer 46,Check,48666
27-Aug-23,Cash,Transaction 252,673.72,673.72,Liability,Purchase,Customer 31,Check,41154
06-Mar-23,Cash,Transaction 253,309.85,309.85,Expense,Expense,Customer 99,Bank Transfer,69801
26-Nov-23,Inventory,Transaction 254,988.49,988.49,Revenue,Sale,Customer 70,Check,42502
25-Oct-23,Cash,Transaction 255,932.97,932.97,Asset,Expense,Customer 85,Check,82832
23-Mar-23,Accounts Payable,Transaction 256,935.96,935.96,Expense,Expense,Customer 17,Credit Card,30871
23-Dec-23,Inventory,Transaction 257,703.16,703.16,Expense,Sale,Customer 2,Check,30122
10-Oct-23,Accounts Receivable,Transaction 258,792.32,792.32,Asset,Sale,Customer 57,Check,93070
19-Aug-23,Cash,Transaction 259,979.65,979.65,Asset,Transfer,Customer 15,Bank Transfer,37081
17-May-23,Inventory,Transaction 260,450.7,450.7,Asset,Sale,Customer 49,Check,53325
25-Apr-23,Cash,Transaction 261,566.43,566.43,Expense,Sale,Customer 45,Credit Card,82318
12-Aug-23,Accounts Payable,Transaction 262,956.89,956.89,Expense,Transfer,Customer 77,Bank Transfer,16931
10-Sep-23,Cash,Transaction 263,634.05,634.05,Expense,Purchase,Customer 99,Check,82532
01-Jul-23,Accounts Receivable,Transaction 264,812.91,812.91,Asset,Expense,Customer 57,Cash,31465
22-Dec-23,Inventory,Transaction 265,572.59,572.59,Revenue,Sale,Customer 55,Cash,92700
04-May-23,Cash,Transaction 266,599.2,599.2,Expense,Transfer,Customer 66,Cash,89390
